id,nombre,temas,tipo,escala,estado,descripcion,sitio_web,latitud,longitud,ubicacion,palabras_clave,enlace_mapa,orden_tabla,nombre_tabla,escala_tabla,modelo_swat,activo_a_la_fecha,mostrar_en_catalogo
9,Borracho,"Cantidad, cambios de uso de suelo, variabilidad climatica",Cuenca,Cuenca,Activo,"Cuenca del río Tacuarembó en el norte del país, creciente presencia de plantaciones forestales.",,-31.36161,-55.58753,Uruguay,cantidad de agua; forestacion,data/catchments/borracho.geojson,1,Borracho,Cuenca,SWAT 2012,Activo,si
2,San Salvador,"Cantidad, Calidad",Cuenca,Cuenca,Activo,"Cuenca del río San Salvador, con desembocadura en el río Uruguay, dominada por suelos agrícolas de alta productividad.",,-33.63,-57.02,"Soriano, Uruguay",riego; agricultura; mapa de uso de suelo; calidad de agua,data/catchments/san-salvador.geojson,2,San Salvador,Cuenca,SWAT 2012,Activo,si
3,Microcuencas,Calidad,Sitio experimental,Parcela / microcuenca,Activo,"Cuencas experimentales distribuidas en el país utilizadas para estudios hidrológicos detallados en diferentes condiciones de uso del suelo.   Don Tomás-La Cantera (MP), La Nueva Esperanza  (UPM),   Viraró (UPM),  La Corona (INIA)",,-32.37,-58.06,Uruguay,forestacion; intercepcion; evapotranspiracion; cuencas pareadas,data/catchments/microcuencas.geojson,3,Microcuencas,Parcela / microcuenca,SWAT 2012,Activo,si
4,Santa Lucía (Cuenca 60),"Cantidad, Calidad, zonas buffer",Cuenca,Cuenca,Activo,"Subcuenca del sistema del río Santa Lucía, principal fuente de agua potable del país, con fuerte influencia de actividades agropecuarias.",,-34.6,-56.4,"Santa Lucía, Uruguay",calidad de agua; cantidad de agua; buenas practicas de manejo,data/catchments/santa-lucia-dinacea.geojson,4,Santa Lucia (Cuenca 60),Cuenca,SWAT 2012,,si
5,Queguay,"Cantidad, cambios de uso de suelo, variabilidad climatica",Cuenca,Cuenca,Activo,"Cuenca del río Queguay, afluente del río Uruguay, usos de suelo mixtos",,-31.9,-57.8,"Paysandú, Uruguay",cantidad de agua; forestacion,data/catchments/queguay-imfia.geojson,5,Queguay,Cuenca,SWAT 2012,,si
6,Cebollatí,"Cantidad, calidad, cambios de uso de suelo",Cuenca,Cuenca,Activo,"Cuenca del río Cebollatí, con desembocadura a la Laguna Merín, caracterizada por humedales y actividad arrocera.",,-33.2,-53.7,"Rocha / Treinta y Tres, Uruguay",,data/catchments/cebollati.geojson,6,Cebollati,Cuenca,SWAT 2012,Activo,si
7,Arapey Grande,"Cantidad, cambios de uso de suelo, variabilidad climatica",Cuenca,Cuenca,Activo,"Cuenca del río Arapey Grande, afluente del río Uruguay, ubicada en una región de uso ganadero extensivo , secano y riego en expansión",,-30.5,-57.6,"Salto, Uruguay",cantidad de agua; forestacion,data/catchments/arapey-grande.geojson,7,Arapey Grande,Cuenca,SWAT plus,,si
8,Tala,"Cantidad, calidad, riego, modelo economico",Cuenca,Cuenca,Activo,"Cuenca del arroyo Tala, afluente del río Uruguay, ubicada en el departamento de Salto con predominio de uso agropecuario.",,-31.21389,-57.37128,"Salto,Uruguay",horticultura; riego,data/catchments/tala.geojson,8,Tala,Cuenca,SWATplus,,si
10,Laguna de Rocha,Calidad,Laguna,Laguna,Activo,"Cuenca costera asociada a la laguna de Rocha, un sistema de agua salobre conectado periódicamente al océano Atlántico.",,-34.6,-54.3,"Rocha, Uruguay",cantidad de agua; forestacion; variabilidad climatica; caudal ambiental,data/catchments/laguna-de-rocha.geojson,9,Laguna de Rocha,Cuenca,SWAT 2012,,si
11,Laguna del Cisne,Calidad,Laguna,Laguna,Activo,Utilizada como fuente de agua potable y rodeada de uso agrícola.,,-34.75,-55.8,"Canelones, Uruguay",calidad de agua;plaguicidas,data/catchments/laguna-del-cisne.geojson,10,Laguna del Cisne,Cuenca,SWAT 2012,,si
12,Río Negro,Cantidad,Cuenca,Cuenca,Activo,"Principal río que atraviesa el país de este a oeste y drena hacia el río Uruguay, con grandes embalses hidroeléctricos.",,-32.9,-56.5,Uruguay,calidad de agua,data/catchments/rio-negro.geojson,11,Rio Negro,Cuenca,SWAT 2012,Activo,si
13,San Antonio,"Cantidad, calidad, riego, agua subterranea",Cuenca,Cuenca,Activo,"Cuenca de arroyos que drenan hacia el Río de la Plata, en una zona de producción agrícola intensiva.",,-31.40631,-57.95716,"Salto, Uruguay",calidad de agua; buenas practicas de manejo,data/catchments/san-antonio.geojson,12,San Antonio,Cuenca,SWATplus,,si
14,Laguna del Sauce,Calidad,Laguna,Cuenca de laguna,Activo,"Cuenca asociada a la laguna del Sauce, principal fuente de agua potable del departamento de Maldonado.",,-34.69993,-55.17706,"Maldonado, Uruguay",calidad de agua; agua subterranea; riego,data/catchments/laguna-del-sauce.geojson,13,Laguna del Sauce,Cuenca,SWAT 2012,,si
15,Santa Lucía,"Cantidad, Calidad, zonas buffer",Cuenca,Cuenca,Activo,Cuenca del río Santa Lucía que desemboca en el Río de la Plata y abastece de agua potable a Montevideo y su área metropolitana.,,-34.19398,-55.91396,"Santa Lucía, Uruguay",calidad de agua; cantidad de agua; modelo economico; servicios ecosistemicos,data/catchments/santa-lucia-dinacea.geojson,14,Santa Lucia,Cuenca,SWAT 2012,Activo,si
16,Olimar,Cantidad,Cuenca,Cuenca,Activo,"Cuenca del río Olimar, afluente del río Cebollatí, ubicada en una región de relieve bajo y uso agropecuario (arroz)",,-33,-54.8,Uruguay,cantidad de agua;calidad;arroz,data/catchments/olimar.geojson,15,Olimar,Cuenca,SWAT 2012,,si
